id;date;lat;lon;pest;intensity;intensity_nor_ha;ndvi;ndwi;ndmi;gndvi;reci;red;nir;date_used;image_path;cloud_percentage;temp_mean;precip_sum;wind_mean;cloud_mean;pressure_mean;rh_mean;dewpoint_mean;intensity_text
718;20.3.2023;49.160618;14.301714;hraboš polní;1;370;0.5244299674267101;-0.5734870317002881;0.079762689518787;0.5734870317002881;0.5919765166340509;1022.0;3276.0;16.3.2023;sentinel_data/S2L2A_RGB_2023-03-16_49.160618_14.301714_128x128.png;16.189949;9.016666666666667;0.2;8.429166666666667;77.66666666666667;1018.8083333333332;78.54166666666667;5.133333333333334;s výskytom
563;2.3.2023;49.319373;17.436603;hraboš polní;1;2470;0.7127771911298838;-0.6458650431253171;0.2769139933084039;0.6458650431253171;1.0367647058823528;544.0;3244.0;3.3.2023;sentinel_data/S2L2A_RGB_2023-03-03_49.319373_17.436603_128x128.png;5.776697;2.0166666666666666;0.0;9.75;19.0;1022.85;65.79166666666667;-4.0;s výskytom
1628;4.7.2023;49.248837;14.717782;hraboš polní;1;50;0.8414310954063604;-0.7345537757437071;0.299361072152096;0.7345537757437071;2.116991643454039;359.0;4169.0;29.6.2023;sentinel_data/S2L2A_RGB_2023-06-29_49.248837_14.717782_128x128.png;1.752301;19.883333333333333;0.3;7.2;43.16666666666666;1014.8333333333334;58.125;10.75;s výskytom
2327;7.9.2023;49.198818;16.93381;hraboš polní;1;1660;0.1868818323789693;-0.3302217036172695;-0.2561174551386623;0.3302217036172695;0.1600512163892444;1562.0;2280.0;9.9.2023;sentinel_data/S2L2A_RGB_2023-09-09_49.198818_16.933810_128x128.png;0.01417;19.816666666666663;0.0;10.241666666666667;0.0833333333333333;1023.9541666666668;63.29166666666666;12.108333333333334;s výskytom
4029;18.3.2024;48.933527;16.710754;hraboš polní;1;435;0.8350023843586075;-0.7309941520467836;0.3849199208205866;0.7309941520467836;1.6329479768786128;346.0;3848.0;20.3.2024;sentinel_data/S2L2A_RGB_2024-03-20_48.933527_16.710754_128x128.png;8.879739;3.5916666666666663;0.0;7.716666666666666;64.95833333333333;1019.5916666666668;69.125;-1.9041666666666668;s výskytom
132;19.1.2023;49.569215;17.017111;hraboš polní;1;230;0.7996715927750411;-0.7169712793733681;0.3215434083601286;0.7169712793733681;1.737704918032787;366.0;3288.0;17.1.2023;sentinel_data/S2L2A_RGB_2023-01-17_49.569215_17.017111_128x128.png;15.825388;-0.2833333333333334;0.2;12.716666666666669;100.0;1006.3375;81.16666666666667;-3.225;s výskytom
2679;12.9.2023;50.824054;14.95303;hraboš polní;0;0;0.1011787819253438;-0.2278203723986856;-0.159039759939985;0.2278203723986856;0.1420765027322403;1830.0;2242.0;7.9.2023;sentinel_data/S2L2A_RGB_2023-09-07_50.824054_14.953030_128x128.png;0.008617;22.016666666666666;0.0;6.291666666666667;66.29166666666667;1013.1291666666666;65.91666666666667;14.874999999999998;bez výskytu
2096;4.9.2023;49.112158;14.909199;hraboš polní;0;0;0.1567023285084959;-0.3007784854918613;-0.1982551799345692;0.3007784854918613;0.1119402985074626;1340.0;1838.0;7.9.2023;sentinel_data/S2L2A_RGB_2023-09-07_49.112158_14.909199_128x128.png;0.001745;15.954166666666667;0.0;6.912499999999999;30.666666666666668;1028.3375;73.16666666666667;10.754166666666668;bez výskytu
145;20.1.2023;49.78559;16.420718;hraboš polní;1;120;0.7817874259937976;-0.6970998925886144;0.3395506570580754;0.6970998925886144;1.7235142118863047;387.0;3160.0;17.1.2023;sentinel_data/S2L2A_RGB_2023-01-17_49.785590_16.420718_128x128.png;4.124419;-3.1958333333333333;0.3;10.941666666666668;87.0;1014.8375;81.125;-6.091666666666668;s výskytom
1686;12.7.2023;49.937042;13.682819;hraboš polní;1;500;0.2926777801223887;-0.4210160055671538;-0.11792656587473;0.4210160055671538;0.2321002386634845;1676.0;3063.0;7.7.2023;sentinel_data/S2L2A_RGB_2023-07-07_49.937042_13.682819_128x128.png;7.996122;24.558333333333337;1.7;16.087500000000002;95.29166666666669;1011.4208333333332;54.5;13.883333333333336;s výskytom
